"district.number","district.name","province","year","WinningParty","LiberalVotes","ConservativeVotes","NDPVotes","BlocVotes","GreenVotes","PeoplesVotes","IndependentVotes","votes"
35047,"Kitchener South--Hespeler","ON","2015","Liberal",20215,17544,7440,0,1767,0,0,47829
35048,"Lambton--Kent--Middlesex","ON","2015","Conservative",16592,28300,9598,0,1873,0,0,56363
35049,"Lanark--Frontenac--Kingston","ON","2015","Conservative",19325,27399,8073,0,2025,0,0,57240
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes","ON","2015","Conservative",22888,26738,4722,0,2088,0,0,56436
35051,"London--Fanshawe","ON","2015","NDP",17214,14891,20684,0,1604,0,352,54745
35052,"London North Centre","ON","2015","Liberal",32427,19990,9423,0,2286,0,0,64271
35053,"London West","ON","2015","Liberal",31167,24036,10087,0,1918,0,0,68027
35054,"Markham--Stouffville","ON","2015","Liberal",29416,25565,3647,0,1145,0,0,59773
35055,"Markham--Thornhill","ON","2015","Liberal",23878,13849,4595,0,535,0,0,42857
35056,"Markham--Unionville","ON","2015","Conservative",21596,24605,2528,0,1110,0,0,49839
35057,"Milton","ON","2015","Conservative",19940,22378,5366,0,1131,0,0,49308
35058,"Mississauga Centre","ON","2015","Liberal",28372,17431,4920,0,1129,0,0,51852
35059,"Mississauga East--Cooksville","ON","2015","Liberal",28154,18353,4481,0,766,0,0,51917
35060,"Mississauga--Erin Mills","ON","2015","Liberal",27520,21716,5206,0,905,0,0,55347
35061,"Mississauga--Lakeshore","ON","2015","Liberal",28279,24435,4735,0,1397,0,0,59273
35062,"Mississauga--Malton","ON","2015","Liberal",26165,11701,5450,0,737,0,203,44256
35063,"Mississauga--Streetsville","ON","2015","Liberal",26792,22621,5040,0,1293,0,0,55999
35064,"Nepean","ON","2015","Liberal",34017,23442,5324,0,1513,0,551,64888
35065,"Newmarket--Aurora","ON","2015","Liberal",25508,24057,4806,0,1331,0,0,56464
35066,"Niagara Centre","ON","2015","Liberal",19513,16248,17218,0,1316,0,0,54682
35067,"Niagara Falls","ON","2015","Conservative",22318,27235,13525,0,1633,0,0,64711
35068,"Niagara West","ON","2015","Conservative",16581,24732,5802,0,1511,0,0,50657
35069,"Nickel Belt","ON","2015","Liberal",21021,8221,18556,0,1217,0,0,49113
35070,"Nipissing--Timiskaming","ON","2015","Liberal",25357,14325,7936,0,1257,0,0,48875
35071,"Northumberland--Peterborough South","ON","2015","Liberal",27043,25165,9411,0,1990,0,0,63609
35072,"Oakville","ON","2015","Liberal",31956,27497,3830,0,1420,0,0,64703
35073,"Oakville North--Burlington","ON","2015","Liberal",28415,26342,4405,0,968,0,0,60796
35074,"Oshawa","ON","2015","Conservative",16588,23162,19339,0,1522,0,0,60686
35075,"Ottawa Centre","ON","2015","Liberal",32211,10943,29098,0,2246,0,0,75500
35076,"Orléans","ON","2015","Liberal",46542,23821,6215,0,1410,0,0,77988
35077,"Ottawa South","ON","2015","Liberal",38831,15711,7480,0,1888,0,0,64649
35078,"Ottawa--Vanier","ON","2015","Liberal",36474,12109,12194,0,1947,0,0,63355
35079,"Ottawa West--Nepean","ON","2015","Liberal",35199,18893,6195,0,1772,0,0,62913
35080,"Oxford","ON","2015","Conservative",18299,25966,9406,0,2004,0,0,56850
35081,"Parkdale--High Park","ON","2015","Liberal",24623,7641,23566,0,1743,0,93,58567
35082,"Parry Sound--Muskoka","ON","2015","Conservative",19937,22206,5183,0,3704,0,0,51279
35083,"Perth--Wellington","ON","2015","Conservative",19480,22255,7756,0,1347,0,0,51851
35084,"Peterborough--Kawartha","ON","2015","Liberal",29159,23335,12437,0,1480,0,0,66542
35085,"Pickering--Uxbridge","ON","2015","Liberal",29757,22591,5446,0,1365,0,0,59159
35086,"Renfrew--Nipissing--Pembroke","ON","2015","Conservative",18666,26195,4893,0,1105,0,6300,57159
35087,"Richmond Hill","ON","2015","Liberal",23032,21275,3950,0,856,0,0,49113
35088,"Carleton","ON","2015","Conservative",25913,27762,3632,0,1932,0,0,59239
35089,"St. Catharines","ON","2015","Liberal",24870,21637,9511,0,1488,0,0,57591
35090,"Toronto--St. Paul's","ON","2015","Liberal",31481,15376,8386,0,1729,0,0,56972
35091,"Sarnia--Lambton","ON","2015","Conservative",15853,22565,18102,0,1605,0,0,58125
35092,"Sault Ste. Marie","ON","2015","Liberal",19582,13615,9543,0,934,0,0,43757
35093,"Scarborough--Agincourt","ON","2015","Liberal",21587,15802,3263,0,570,0,0,41556
35094,"Scarborough Centre","ON","2015","Liberal",22753,14705,5227,0,960,0,0,45029
35095,"Scarborough--Guildwood","ON","2015","Liberal",25167,11108,4720,0,606,0,175,41917
35096,"Scarborough North","ON","2015","Liberal",18904,10737,8648,0,579,0,320,39188
35097,"Scarborough--Rouge Park","ON","2015","Liberal",29913,13587,5145,0,1010,0,0,49655
35098,"Scarborough Southwest","ON","2015","Liberal",25586,10347,11574,0,1259,0,0,48766
35099,"Simcoe--Grey","ON","2015","Conservative",25352,30612,6332,0,2923,0,0,65747
35100,"Simcoe North","ON","2015","Conservative",22718,24836,6037,0,2543,0,0,57071
35101,"Spadina--Fort York","ON","2015","Liberal",30141,8673,15047,0,1137,0,0,55148
35102,"Stormont--Dundas--South Glengarry","ON","2015","Conservative",20452,27091,4332,0,1191,0,0,53066
35103,"Sudbury","ON","2015","Liberal",23534,10473,13793,0,1509,0,218,49629
35104,"Thornhill","ON","2015","Conservative",18395,31911,2814,0,627,0,0,54491
35105,"Thunder Bay--Rainy River","ON","2015","Liberal",18523,8876,12483,0,2201,0,0,42083
35106,"Thunder Bay--Superior North","ON","2015","Liberal",20069,7775,10339,0,6155,0,270,44608
35107,"Timmins--James Bay","ON","2015","NDP",12940,7605,15974,0,752,0,0,37271
35108,"Toronto Centre","ON","2015","Liberal",29297,6167,13467,0,1315,0,147,50602
35109,"Toronto--Danforth","ON","2015","Liberal",23531,5478,22325,0,2618,0,0,55581
35110,"University--Rosedale","ON","2015","Liberal",27849,9790,15988,0,1641,0,0,55925
35111,"Vaughan--Woodbridge","ON","2015","Liberal",23041,20746,2198,0,597,0,0,47298
35112,"Waterloo","ON","2015","Liberal",29752,19318,8928,0,1713,0,0,59849
35113,"Wellington--Halton Hills","ON","2015","Conservative",23279,32482,5321,0,2547,0,0,63812
35114,"Whitby","ON","2015","Liberal",29003,27154,6677,0,1403,0,279,64516
35115,"Willowdale","ON","2015","Liberal",24519,16990,3203,0,1025,0,216,45953
35116,"Windsor--Tecumseh","ON","2015","NDP",14177,14656,23215,0,1047,0,0,53344
35117,"Windsor West","ON","2015","NDP",11842,9734,24085,0,1083,0,0,46905
35118,"York Centre","ON","2015","Liberal",20131,18893,3148,0,772,0,0,42944
35119,"York--Simcoe","ON","2015","Conservative",18083,24058,4255,0,1483,0,0,47879
35120,"York South--Weston","ON","2015","Liberal",20093,8399,13281,0,892,0,0,43706
35121,"Humber River--Black Creek","ON","2015","Liberal",23995,7228,3851,0,584,0,0,35859
46001,"Brandon--Souris","MB","2015","Conservative",15338,20666,2576,0,2526,0,0,41106
46002,"Charleswood--St. James--Assiniboia--Headingley","MB","2015","Liberal",24531,18408,2842,0,1376,0,0,47157
46003,"Churchill--Keewatinook Aski","MB","2015","NDP",12575,3090,13487,0,537,0,0,29944
46004,"Dauphin--Swan River--Neepawa","MB","2015","Conservative",12276,19276,5097,0,1592,0,3357,41598
46005,"Elmwood--Transcona","MB","2015","NDP",12713,14648,14709,0,1016,0,0,43086
46006,"Kildonan--St. Paul","MB","2015","Liberal",18717,17478,6270,0,783,0,142,43875
46007,"Portage--Lisgar","MB","2015","Conservative",10621,25060,2554,0,1637,0,0,41187
46008,"Provencher","MB","2015","Conservative",15509,25086,2371,0,1779,0,0,44745
46009,"Saint Boniface--Saint Vital","MB","2015","Liberal",28530,14005,5169,0,1119,0,0,48823
46010,"Selkirk--Interlake--Eastman","MB","2015","Conservative",15508,25617,5649,0,1707,0,0,49363
46011,"Winnipeg Centre","MB","2015","Liberal",18471,4189,9490,0,1379,0,0,33885
46012,"Winnipeg North","MB","2015","Liberal",23402,5193,4543,0,826,0,0,33964
46013,"Winnipeg South","MB","2015","Liberal",28096,16709,2404,0,990,0,0,48199
46014,"Winnipeg South Centre","MB","2015","Liberal",31993,15102,4799,0,1677,0,0,53571
47001,"Battlefords--Lloydminster","SK","2015","Conservative",5550,20547,5930,0,575,0,1076,33678
47002,"Cypress Hills--Grasslands","SK","2015","Conservative",5381,25050,4783,0,993,0,0,36207
47003,"Desnethé--Missinippi--Churchill River","SK","2015","NDP",10237,9105,10319,0,552,0,0,30213
47004,"Carlton Trail--Eagle Creek","SK","2015","Conservative",5774,26004,7499,0,902,0,0,40179
47005,"Moose Jaw--Lake Centre--Lanigan","SK","2015","Conservative",7545,23273,9978,0,961,0,0,41965
47006,"Prince Albert","SK","2015","Conservative",7832,19673,11244,0,761,0,0,39510
47007,"Regina--Lewvan","SK","2015","NDP",13143,16711,16843,0,839,0,0,47834
47008,"Regina--Qu'Appelle","SK","2015","Conservative",8401,16486,11144,0,852,0,0,36883
47009,"Regina--Wascana","SK","2015","Liberal",23552,12931,5362,0,878,0,0,42723
47010,"Saskatoon--Grasswood","SK","2015","Conservative",12165,19166,13909,0,846,0,0,46086
47011,"Saskatoon--University","SK","2015","Conservative",11287,18592,14115,0,686,0,0,44773
47012,"Saskatoon West","SK","2015","NDP",9234,12401,14921,0,658,0,0,37715
47013,"Souris--Moose Mountain","SK","2015","Conservative",5076,26315,5131,0,994,0,0,37516
47014,"Yorkton--Melville","SK","2015","Conservative",6504,21683,7396,0,1030,0,0,36613
48001,"Banff--Airdrie","AB","2015","Conservative",17380,42228,4521,0,2509,0,0,66638
48002,"Battle River--Crowfoot","AB","2015","Conservative",5505,47552,3844,0,1868,0,0,58769
48003,"Bow River","AB","2015","Conservative",6840,38701,2622,0,919,0,543,49988
48004,"Calgary Centre","AB","2015","Liberal",28496,27746,3412,0,1347,0,248,61249
48005,"Calgary Confederation","AB","2015","Conservative",29083,30669,4770,0,2146,0,0,66808
48006,"Calgary Forest Lawn","AB","2015","Conservative",14762,19694,4006,0,1229,0,0,41047
48007,"Calgary Heritage","AB","2015","Conservative",15172,37263,4255,0,1246,0,248,58430
48008,"Calgary Midnapore","AB","2015","Conservative",14396,42415,4915,0,1691,0,0,63562
48009,"Calgary Nose Hill","AB","2015","Conservative",14671,32760,4836,0,1384,0,0,54562
48010,"Calgary Rocky Ridge","AB","2015","Conservative",20038,38229,3665,0,1360,0,0,63292
48011,"Calgary Shepard","AB","2015","Conservative",16379,43706,4532,0,1734,0,0,66351
48012,"Calgary Signal Hill","AB","2015","Conservative",19108,37858,3128,0,1586,0,0,62519
48013,"Calgary Skyview","AB","2015","Liberal",20644,17885,3605,0,846,0,182,44993
48014,"Edmonton Centre","AB","2015","Liberal",19902,18703,13084,0,1403,0,163,53512
48015,"Edmonton Griesbach","AB","2015","Conservative",10397,19157,16309,0,1129,0,0,47942
48016,"Edmonton Manning","AB","2015","Conservative",13509,22166,11582,0,1079,0,540,49001
48017,"Edmonton Mill Woods","AB","2015","Liberal",20423,20331,6330,0,1096,0,560,49517
48018,"Edmonton Riverbend","AB","2015","Conservative",17428,28805,9846,0,1275,0,0,57740
48019,"Edmonton Strathcona","AB","2015","NDP",11524,17395,24446,0,1278,0,223,55604
48020,"Edmonton West","AB","2015","Conservative",18649,26370,6955,0,1037,0,0,53457
48021,"Edmonton--Wetaskiwin","AB","2015","Conservative",14660,44949,6645,0,1595,0,0,68344
48022,"Foothills","AB","2015","Conservative",8149,46166,3919,0,1983,0,0,60986
48023,"Fort McMurray--Cold Lake","AB","2015","Conservative",13403,28625,3663,0,743,0,0,47266
48024,"Grande Prairie--Mackenzie","AB","2015","Conservative",7819,38895,4343,0,1673,0,0,53343
48025,"Lakeland","AB","2015","Conservative",7500,39882,5513,0,1283,0,0,54779
48026,"Lethbridge","AB","2015","Conservative",10532,32321,11674,0,1461,0,0,56943
48027,"Medicine Hat--Cardston--Warner","AB","2015","Conservative",9085,34849,4897,0,1319,0,500,50650
48028,"Peace River--Westlock","AB","2015","Conservative",6360,34342,7127,0,1247,0,0,49519
48029,"Red Deer--Mountain View","AB","2015","Conservative",8356,46245,5233,0,1621,0,0,62212
48030,"Red Deer--Lacombe","AB","2015","Conservative",9235,43599,7055,0,1773,0,0,61662
48031,"St. Albert--Edmonton","AB","2015","Conservative",13343,26783,6609,0,821,0,11652,59208
48032,"Sherwood Park--Fort Saskatchewan","AB","2015","Conservative",13615,42642,6540,0,1648,0,1563,66686
48033,"Sturgeon River--Parkland","AB","2015","Conservative",9586,43220,6166,0,1875,0,0,61537
